System,Chains,Sweeps,Accuracy
Hakaru,8,11,1.000000
Hakaru,8,12,1.000000
Hakaru,8,13,1.000000
Hakaru,8,14,1.000000
Hakaru,8,15,1.000000
Hakaru,9,1,0.884000
Hakaru,9,2,1.000000
Hakaru,9,3,1.000000
Hakaru,9,4,1.000000
Hakaru,9,5,1.000000
Hakaru,9,6,1.000000
Hakaru,9,7,1.000000
Hakaru,9,8,1.000000
Hakaru,9,9,1.000000
Hakaru,9,10,1.000000
Hakaru,9,11,1.000000
Hakaru,9,12,1.000000
Hakaru,9,13,1.000000
Hakaru,9,14,1.000000
Hakaru,9,15,1.000000
Hakaru,10,1,0.920000
Hakaru,10,2,1.000000
Hakaru,10,3,1.000000
Hakaru,10,4,1.000000
Hakaru,10,5,1.000000
Hakaru,10,6,1.000000
Hakaru,10,7,1.000000
Hakaru,10,8,1.000000
Hakaru,10,9,1.000000
Hakaru,10,10,1.000000
Hakaru,10,11,1.000000
Hakaru,10,12,1.000000
Hakaru,10,13,1.000000
Hakaru,10,14,1.000000
Hakaru,10,15,1.000000
Hakaru,11,1,0.780000
Hakaru,11,2,0.996000
Hakaru,11,3,1.000000
Hakaru,11,4,1.000000
Hakaru,11,5,1.000000
Hakaru,11,6,1.000000
Hakaru,11,7,1.000000
Hakaru,11,8,1.000000
Hakaru,11,9,1.000000
Hakaru,11,10,1.000000
Hakaru,11,11,1.000000
Hakaru,11,12,1.000000
Hakaru,11,13,0.996000
Hakaru,11,14,1.000000
Hakaru,11,15,1.000000
Hakaru,12,1,0.876000
Hakaru,12,2,1.000000
Hakaru,12,3,1.000000
Hakaru,12,4,1.000000
Hakaru,12,5,1.000000
Hakaru,12,6,1.000000
Hakaru,12,7,1.000000
Hakaru,12,8,1.000000
Hakaru,12,9,1.000000
Hakaru,12,10,1.000000
Hakaru,12,11,1.000000
Hakaru,12,12,1.000000
Hakaru,12,13,1.000000
Hakaru,12,14,1.000000
Hakaru,12,15,1.000000
Hakaru,13,1,0.964000
Hakaru,13,2,1.000000
Hakaru,13,3,1.000000
Hakaru,13,4,1.000000
Hakaru,13,5,1.000000
Hakaru,13,6,1.000000
Hakaru,13,7,1.000000
Hakaru,13,8,1.000000
Hakaru,13,9,1.000000
Hakaru,13,10,1.000000
Hakaru,13,11,1.000000
Hakaru,13,12,1.000000
Hakaru,13,13,1.000000
Hakaru,13,14,1.000000
Hakaru,13,15,1.000000
Hakaru,14,1,0.960000
Hakaru,14,2,1.000000
Hakaru,14,3,1.000000
Hakaru,14,4,1.000000
Hakaru,14,5,1.000000
Hakaru,14,6,1.000000
Hakaru,14,7,1.000000
Hakaru,14,8,1.000000
Hakaru,14,9,1.000000
Hakaru,14,10,1.000000
Hakaru,14,11,1.000000
Hakaru,14,12,1.000000
Hakaru,14,13,1.000000
Hakaru,14,14,1.000000
Hakaru,14,15,1.000000
Hakaru,15,1,0.840000
Hakaru,15,2,0.996000
Hakaru,15,3,1.000000
Hakaru,15,4,1.000000
Hakaru,15,5,1.000000
Hakaru,15,6,1.000000
Hakaru,15,7,1.000000
Hakaru,15,8,1.000000
Hakaru,15,9,1.000000
Hakaru,15,10,1.000000
Hakaru,15,11,1.000000
Hakaru,15,12,1.000000
Hakaru,15,13,1.000000
Hakaru,15,14,1.000000
Hakaru,15,15,1.000000
Hakaru,16,1,0.908000
Hakaru,16,2,1.000000
Hakaru,16,3,1.000000
Hakaru,16,4,1.000000
Hakaru,16,5,1.000000
Hakaru,16,6,1.000000
Hakaru,16,7,1.000000
Hakaru,16,8,1.000000
Hakaru,16,9,1.000000
Hakaru,16,10,1.000000
Hakaru,16,11,1.000000
Hakaru,16,12,1.000000
Hakaru,16,13,1.000000
Hakaru,16,14,1.000000
Hakaru,16,15,1.000000
Hakaru,17,1,0.824000
Hakaru,17,2,0.756000
Hakaru,17,3,0.968000
Hakaru,17,4,1.000000
Hakaru,17,5,1.000000
Hakaru,17,6,1.000000
Hakaru,17,7,1.000000
Hakaru,17,8,1.000000
Hakaru,17,9,1.000000
Hakaru,17,10,1.000000
Hakaru,17,11,1.000000
Hakaru,17,12,1.000000
Hakaru,17,13,1.000000
Hakaru,17,14,1.000000
Hakaru,17,15,1.000000
Hakaru,18,1,0.840000
Hakaru,18,2,1.000000
Hakaru,18,3,1.000000
Hakaru,18,4,1.000000
Hakaru,18,5,1.000000
Hakaru,18,6,1.000000
Hakaru,18,7,1.000000
Hakaru,18,8,1.000000
Hakaru,18,9,1.000000
Hakaru,18,10,1.000000
Hakaru,18,11,1.000000
Hakaru,18,12,1.000000
Hakaru,18,13,1.000000
Hakaru,18,14,1.000000
Hakaru,18,15,1.000000
Hakaru,19,1,0.864000
Hakaru,19,2,1.000000
Hakaru,19,3,1.000000
Hakaru,19,4,1.000000
Hakaru,19,5,1.000000
Hakaru,19,6,1.000000
Hakaru,19,7,1.000000
Hakaru,19,8,1.000000
Hakaru,19,9,1.000000
Hakaru,19,10,1.000000
Hakaru,19,11,1.000000
Hakaru,19,12,1.000000
Hakaru,19,13,1.000000
Hakaru,19,14,1.000000
Hakaru,19,15,1.000000
Hakaru,20,1,0.584000
Hakaru,20,2,0.980000
Hakaru,20,3,1.000000
Hakaru,20,4,1.000000
Hakaru,20,5,1.000000
Hakaru,20,6,1.000000
Hakaru,20,7,1.000000
Hakaru,20,8,1.000000
Hakaru,20,9,1.000000
Hakaru,20,10,1.000000
Hakaru,20,11,1.000000
Hakaru,20,12,1.000000
Hakaru,20,13,1.000000
Hakaru,20,14,1.000000
Hakaru,20,15,1.000000
Hakaru,21,1,0.932000
Hakaru,21,2,1.000000
Hakaru,21,3,1.000000
Hakaru,21,4,1.000000
Hakaru,21,5,1.000000
Hakaru,21,6,1.000000
Hakaru,21,7,1.000000
Hakaru,21,8,1.000000
Hakaru,21,9,1.000000
Hakaru,21,10,1.000000
Hakaru,21,11,1.000000
Hakaru,21,12,1.000000
Hakaru,21,13,1.000000
Hakaru,21,14,1.000000
Hakaru,21,15,1.000000
Hakaru,22,1,0.956000
Hakaru,22,2,1.000000
Hakaru,22,3,1.000000
Hakaru,22,4,1.000000
Hakaru,22,5,1.000000
Hakaru,22,6,1.000000
Hakaru,22,7,1.000000
Hakaru,22,8,1.000000
Hakaru,22,9,1.000000
Hakaru,22,10,1.000000
Hakaru,22,11,1.000000
Hakaru,22,12,1.000000
Hakaru,22,13,1.000000
Hakaru,22,14,1.000000
Hakaru,22,15,1.000000
Hakaru,23,1,0.836000
Hakaru,23,2,0.868000
Hakaru,23,3,0.900000
Hakaru,23,4,0.936000
Hakaru,23,5,0.928000
Hakaru,23,6,0.920000
Hakaru,23,7,0.968000
Hakaru,23,8,0.972000
Hakaru,23,9,0.964000
Hakaru,23,10,0.960000
Hakaru,23,11,0.968000
Hakaru,23,12,0.956000
Hakaru,23,13,0.948000
Hakaru,23,14,0.960000
Hakaru,23,15,0.960000
Hakaru,24,1,0.944000
Hakaru,24,2,0.972000
Hakaru,24,3,0.980000
Hakaru,24,4,0.976000
Hakaru,24,5,0.956000
Hakaru,24,6,0.956000
Hakaru,24,7,0.972000
Hakaru,24,8,0.968000
Hakaru,24,9,0.940000
Hakaru,24,10,0.884000
Hakaru,24,11,0.844000
Hakaru,24,12,0.784000
Hakaru,24,13,0.800000
Hakaru,24,14,0.844000
Hakaru,24,15,0.908000
Hakaru,25,1,0.596000
Hakaru,25,2,0.556000
Hakaru,25,3,0.524000
Hakaru,25,4,0.516000
Hakaru,25,5,0.540000
Hakaru,25,6,0.700000
Hakaru,25,7,0.752000
Hakaru,25,8,0.728000
Hakaru,25,9,0.648000
Hakaru,25,10,0.724000
Hakaru,25,11,0.796000
Hakaru,25,12,0.756000
Hakaru,25,13,0.832000
Hakaru,25,14,0.816000
Hakaru,25,15,0.856000
Hakaru,26,1,0.900000
Hakaru,26,2,0.832000
Hakaru,26,3,0.976000
Hakaru,26,4,1.000000
Hakaru,26,5,1.000000
Hakaru,26,6,1.000000
Hakaru,26,7,1.000000
Hakaru,26,8,1.000000
Hakaru,26,9,1.000000
Hakaru,26,10,1.000000
Hakaru,26,11,1.000000
Hakaru,26,12,1.000000
Hakaru,26,13,1.000000
Hakaru,26,14,1.000000
Hakaru,26,15,1.000000
Hakaru,27,1,0.992000
Hakaru,27,2,1.000000
Hakaru,27,3,1.000000
Hakaru,27,4,1.000000
Hakaru,27,5,1.000000
Hakaru,27,6,1.000000
Hakaru,27,7,1.000000
Hakaru,27,8,1.000000
Hakaru,27,9,1.000000
Hakaru,27,10,1.000000
Hakaru,27,11,1.000000
Hakaru,27,12,1.000000
Hakaru,27,13,1.000000
Hakaru,27,14,1.000000
Hakaru,27,15,1.000000
Hakaru,28,1,0.900000
Hakaru,28,2,1.000000
Hakaru,28,3,1.000000
Hakaru,28,4,1.000000
Hakaru,28,5,1.000000
Hakaru,28,6,1.000000
Hakaru,28,7,1.000000
Hakaru,28,8,1.000000
Hakaru,28,9,1.000000
Hakaru,28,10,1.000000
Hakaru,28,11,1.000000
Hakaru,28,12,1.000000
Hakaru,28,13,1.000000
Hakaru,28,14,1.000000
Hakaru,28,15,1.000000
Hakaru,29,1,0.692000
Hakaru,29,2,0.664000
Hakaru,29,3,0.836000
Hakaru,29,4,0.964000
Hakaru,29,5,0.996000
Hakaru,29,6,0.996000
Hakaru,29,7,0.996000
Hakaru,29,8,0.996000
Hakaru,29,9,0.996000
Hakaru,29,10,0.996000
Hakaru,29,11,0.996000
Hakaru,29,12,0.996000
Hakaru,29,13,0.996000
Hakaru,29,14,0.996000
Hakaru,29,15,0.996000
Hakaru,30,1,0.920000
Hakaru,30,2,1.000000
Hakaru,30,3,1.000000
Hakaru,30,4,1.000000
Hakaru,30,5,1.000000
Hakaru,30,6,1.000000
Hakaru,30,7,1.000000
Hakaru,30,8,1.000000
Hakaru,30,9,1.000000
Hakaru,30,10,1.000000
Hakaru,30,11,1.000000
Hakaru,30,12,0.996000
Hakaru,30,13,1.000000
Hakaru,30,14,1.000000
Hakaru,30,15,1.000000
Hakaru,31,1,0.760000
Hakaru,31,2,0.936000
Hakaru,31,3,1.000000
Hakaru,31,4,1.000000
Hakaru,31,5,1.000000
Hakaru,31,6,1.000000
Hakaru,31,7,1.000000
Hakaru,31,8,1.000000
Hakaru,31,9,1.000000
Hakaru,31,10,1.000000
Hakaru,31,11,1.000000
Hakaru,31,12,1.000000
Hakaru,31,13,1.000000
Hakaru,31,14,1.000000
Hakaru,31,15,1.000000
Hakaru,32,1,0.976000
Hakaru,32,2,1.000000
Hakaru,32,3,1.000000
Hakaru,32,4,1.000000
Hakaru,32,5,1.000000
Hakaru,32,6,1.000000
Hakaru,32,7,1.000000
Hakaru,32,8,1.000000
Hakaru,32,9,1.000000
Hakaru,32,10,1.000000
Hakaru,32,11,1.000000
Hakaru,32,12,1.000000
Hakaru,32,13,1.000000
Hakaru,32,14,1.000000
Hakaru,32,15,1.000000
Hakaru,33,1,0.904000
Hakaru,33,2,1.000000
Hakaru,33,3,1.000000
Hakaru,33,4,1.000000
Hakaru,33,5,1.000000
Hakaru,33,6,1.000000
Hakaru,33,7,1.000000
Hakaru,33,8,1.000000
Hakaru,33,9,1.000000
Hakaru,33,10,1.000000
Hakaru,33,11,1.000000
Hakaru,33,12,1.000000
Hakaru,33,13,1.000000
Hakaru,33,14,1.000000
Hakaru,33,15,1.000000
Hakaru,34,1,0.848000
Hakaru,34,2,0.848000
Hakaru,34,3,0.992000
Hakaru,34,4,1.000000
Hakaru,34,5,1.000000
Hakaru,34,6,1.000000
Hakaru,34,7,1.000000
Hakaru,34,8,1.000000
Hakaru,34,9,1.000000
Hakaru,34,10,1.000000
Hakaru,34,11,1.000000
Hakaru,34,12,1.000000
Hakaru,34,13,1.000000
Hakaru,34,14,1.000000
Hakaru,34,15,1.000000
Hakaru,35,1,0.880000
Hakaru,35,2,0.996000
Hakaru,35,3,0.996000
Hakaru,35,4,1.000000
Hakaru,35,5,0.996000
Hakaru,35,6,1.000000
Hakaru,35,7,0.996000
Hakaru,35,8,0.996000
Hakaru,35,9,0.996000
Hakaru,35,10,1.000000
Hakaru,35,11,1.000000
Hakaru,35,12,0.996000
Hakaru,35,13,1.000000
Hakaru,35,14,1.000000
Hakaru,35,15,0.996000
Hakaru,36,1,0.856000
Hakaru,36,2,0.880000
Hakaru,36,3,0.896000
Hakaru,36,4,1.000000
Hakaru,36,5,1.000000
Hakaru,36,6,1.000000
Hakaru,36,7,1.000000
Hakaru,36,8,1.000000
Hakaru,36,9,1.000000
Hakaru,36,10,1.000000
Hakaru,36,11,1.000000
Hakaru,36,12,1.000000
Hakaru,36,13,1.000000
Hakaru,36,14,1.000000
Hakaru,36,15,1.000000
Hakaru,37,1,0.692000
Hakaru,37,2,0.856000
Hakaru,37,3,0.988000
Hakaru,37,4,1.000000
Hakaru,37,5,1.000000
Hakaru,37,6,1.000000
Hakaru,37,7,1.000000
Hakaru,37,8,1.000000
Hakaru,37,9,1.000000
Hakaru,37,10,1.000000
Hakaru,37,11,1.000000
Hakaru,37,12,1.000000
Hakaru,37,13,1.000000
Hakaru,37,14,1.000000
Hakaru,37,15,1.000000
Hakaru,38,1,0.936000
Hakaru,38,2,1.000000
Hakaru,38,3,1.000000
Hakaru,38,4,1.000000
Hakaru,38,5,1.000000
Hakaru,38,6,0.996000
Hakaru,38,7,1.000000
Hakaru,38,8,1.000000
Hakaru,38,9,0.996000
Hakaru,38,10,1.000000
Hakaru,38,11,1.000000
Hakaru,38,12,1.000000
Hakaru,38,13,1.000000
Hakaru,38,14,1.000000
Hakaru,38,15,1.000000
Hakaru,39,1,0.804000
Hakaru,39,2,0.996000
Hakaru,39,3,1.000000
Hakaru,39,4,1.000000
Hakaru,39,5,1.000000
Hakaru,39,6,1.000000
Hakaru,39,7,1.000000
Hakaru,39,8,1.000000
Hakaru,39,9,1.000000
Hakaru,39,10,1.000000
Hakaru,39,11,1.000000
Hakaru,39,12,1.000000
Hakaru,39,13,1.000000
Hakaru,39,14,1.000000
Hakaru,39,15,1.000000
Hakaru,40,1,0.832000
Hakaru,40,2,0.872000
Hakaru,40,3,0.924000
Hakaru,40,4,0.996000
Hakaru,40,5,1.000000
Hakaru,40,6,1.000000
Hakaru,40,7,1.000000
Hakaru,40,8,1.000000
Hakaru,40,9,1.000000
Hakaru,40,10,1.000000
Hakaru,40,11,1.000000
Hakaru,40,12,1.000000
Hakaru,40,13,1.000000
Hakaru,40,14,1.000000
Hakaru,40,15,1.000000
